Color Name,HEX Code,Description,Emotion,Personality,Mood,Symbolism,Use Case,Keywords,combined_text
Greenish-Yellow,#50BE68,"A vibrant, lively shade of greenish-yellow.","Energy, Vitality","Bubbly, Energetic","Invigorating, Liveliness","Growth, Renewal, Positivity","Ideal for fashion accessories, branding elements, and web design to create a lively and energetic feel.","Vibrant, Fresh, Lively, Energy, Optimistic, Youthful, Trendy, Nature.","A vibrant, lively shade of greenish-yellow. Energy, Vitality Bubbly, Energetic Invigorating, Liveliness Growth, Renewal, Positivity Ideal for fashion accessories, branding elements, and web design to create a lively and energetic feel. Vibrant, Fresh, Lively, Energy, Optimistic, Youthful, Trendy, Nature."
Green-cyan (Saturated),#4C9911,"A vibrant, saturated blend of green and blue.","Calm, refreshing, invigorating","Vibrant, energetic, optimistic","Freshening, stimulating, rejuvenating","Growth, harmony, nature, tranquility","Logos, branding for eco-friendly or tech companies, digital interfaces","Vibrant, Saturated, Nature, Tech, Energy, Optimism","A vibrant, saturated blend of green and blue. Calm, refreshing, invigorating Vibrant, energetic, optimistic Freshening, stimulating, rejuvenating Growth, harmony, nature, tranquility Logos, branding for eco-friendly or tech companies, digital interfaces Vibrant, Saturated, Nature, Tech, Energy, Optimism"
Lime Green,#4ECD20,"A bright, invigorating shade of green.","Energetic, Fresh","Outgoing, Spirited","Exciting, Vitalizing","Growth, Renewal, Success","Ideal for logos, advertisements, and designs that aim to grab attention.","Energy, Nature, Freshness, Positivity, Success","A bright, invigorating shade of green. Energetic, Fresh Outgoing, Spirited Exciting, Vitalizing Growth, Renewal, Success Ideal for logos, advertisements, and designs that aim to grab attention. Energy, Nature, Freshness, Positivity, Success"
Sapphire Blue,#03C4E1,A bright and energetic shade of blue.,Excitement,"Adventurous, Dynamic","Energetic, Vibrant","It may symbolize innovation, creativity, and forward-thinking.","Ideal for tech and digital designs, as well as brands that want to convey a modern and dynamic image.","Digital, Modern, Bold, Energetic, Bright","A bright and energetic shade of blue. Excitement Adventurous, Dynamic Energetic, Vibrant It may symbolize innovation, creativity, and forward-thinking. Ideal for tech and digital designs, as well as brands that want to convey a modern and dynamic image. Digital, Modern, Bold, Energetic, Bright"
Raspberry Wine,#ED3F73,A rich and intense shade of raspberry red.,"Passionate, Dramatic","Bold, Daring","Vibrant, Intense","Love, Seduction, Power","Ideal for creating a sense of urgency or intensity in design, such as call-to-action buttons, headlines, or background colors.","Deep red, Wine red, Raspberry, Passionate, Intense","A rich and intense shade of raspberry red. Passionate, Dramatic Bold, Daring Vibrant, Intense Love, Seduction, Power Ideal for creating a sense of urgency or intensity in design, such as call-to-action buttons, headlines, or background colors. Deep red, Wine red, Raspberry, Passionate, Intense"
Wine Red (Dark Burgundy),#6B1D4B,A deep and luxurious shade of dark burgundy.,"Elegance, sophistication, mystery","Majestic, mysterious, timeless","Warm, intimate, romantic","Tradition, luxury, elegance, passion","Ideal for high-end products, luxurious branding, and formal events.","Rich, deep, dark, elegant, mysterious, luxurious, wine red, burgundy.","A deep and luxurious shade of dark burgundy. Elegance, sophistication, mystery Majestic, mysterious, timeless Warm, intimate, romantic Tradition, luxury, elegance, passion Ideal for high-end products, luxurious branding, and formal events. Rich, deep, dark, elegant, mysterious, luxurious, wine red, burgundy."
Medium Purple (Dusky Lilac),#A868BA,A vibrant blend of red and blue.,"Romantic, Dramatic","Mysterious, Creative, Sensitive","Elegant, Exciting","Intuition, Spirituality, Creativity",Ideal for expressing passion and creativity in design.,"Passionate, Dramatic, Elegant, Mysterious, Creative, Purple, Red-Purple, Dusky Lilac, Vibrant.","A vibrant blend of red and blue. Romantic, Dramatic Mysterious, Creative, Sensitive Elegant, Exciting Intuition, Spirituality, Creativity Ideal for expressing passion and creativity in design. Passionate, Dramatic, Elegant, Mysterious, Creative, Purple, Red-Purple, Dusky Lilac, Vibrant."
Raspberry Rose,#EE3659,A bold and vibrant blend of red and purple.,"Passionate, Dramatic","Adventurous, Bold, Daring","Exciting, Energetic","Love, Power, Desire","Ideal for catching attention in design, branding, and fashion.","Passionate, Vibrant, Dramatic, Adventurous, Bold, Energy, Love, Power, Desire, Design, Branding, Fashion.","A bold and vibrant blend of red and purple. Passionate, Dramatic Adventurous, Bold, Daring Exciting, Energetic Love, Power, Desire Ideal for catching attention in design, branding, and fashion. Passionate, Vibrant, Dramatic, Adventurous, Bold, Energy, Love, Power, Desire, Design, Branding, Fashion."
Maroon Cherry,#C67165,Deep reddish-brown with a hint of cherry.,"Passionate, Warm, Rich","Assertive, Energetic, Bold",Warm and Inviting,"Power, Strength, Stability","Ideal for creating a sense of warmth, passion, or luxury in design.","Warm, Rich, Intense, Deep, Cherry, Brownish Red.","Deep reddish-brown with a hint of cherry. Passionate, Warm, Rich Assertive, Energetic, Bold Warm and Inviting Power, Strength, Stability Ideal for creating a sense of warmth, passion, or luxury in design. Warm, Rich, Intense, Deep, Cherry, Brownish Red."
Sapphire Blue,#127296,"A rich, deep shade of blue reminiscent of sapphires.","Calm, Serene","Mysterious, Reliable","Elegant, Luxurious","Loyalty, Wisdom, Truth","Ideal for creating a professional and calming atmosphere, often used in corporate branding.","Deep, Rich, Sapphire, Blue, Calm, Professional, Corporate, Elegant, Luxurious, Loyalty, Trust, Mysterious.","A rich, deep shade of blue reminiscent of sapphires. Calm, Serene Mysterious, Reliable Elegant, Luxurious Loyalty, Wisdom, Truth Ideal for creating a professional and calming atmosphere, often used in corporate branding. Deep, Rich, Sapphire, Blue, Calm, Professional, Corporate, Elegant, Luxurious, Loyalty, Trust, Mysterious."
Fire Red,#F51600,"A vibrant, deep red that resembles the intensity of a burning fire.","Passionate, energetic, assertive","Bold, confident, dynamic","Exciting, powerful, attention-grabbing","Represents energy, action, and danger","Ideal for catchy brand logos, warning signs, or high-impact design elements.","Intense, Energetic, Passionate, Fire, Danger, Attention-grabbing, Vibrant.","A vibrant, deep red that resembles the intensity of a burning fire. Passionate, energetic, assertive Bold, confident, dynamic Exciting, powerful, attention-grabbing Represents energy, action, and danger Ideal for catchy brand logos, warning signs, or high-impact design elements. Intense, Energetic, Passionate, Fire, Danger, Attention-grabbing, Vibrant."
Fiery Orange,#F48361,A vibrant and intense shade of orange.,"Energy, Passion, Excitement","Bold, Confident, Determined","Radiant, Vital, Invigorating","Represents warmth, fire, determination, and success.","Ideal for grabbing attention in design, such as in branding, packaging, or promotional materials.","Vibrant, Intense, Warm, Energy, Passion, Success","A vibrant and intense shade of orange. Energy, Passion, Excitement Bold, Confident, Determined Radiant, Vital, Invigorating Represents warmth, fire, determination, and success. Ideal for grabbing attention in design, such as in branding, packaging, or promotional materials. Vibrant, Intense, Warm, Energy, Passion, Success"
Deep Purple (Hexadecimal #5C32F8),#5C32F8,"A rich, deep shade of purple.","Royalty, Majesty","Majestic, Regal, Bold","Elegant, Luxurious, Mysterious","Spirituality, Creativity, Intuition, Wisdom","Ideal for luxury branding, high-end fashion, and digital design.","Deep Purple, Vibrant, Majestic, Royal, Elegant, Luxurious, Mysterious, Spiritual, Creative, Intuitive, Wise","A rich, deep shade of purple. Royalty, Majesty Majestic, Regal, Bold Elegant, Luxurious, Mysterious Spirituality, Creativity, Intuition, Wisdom Ideal for luxury branding, high-end fashion, and digital design. Deep Purple, Vibrant, Majestic, Royal, Elegant, Luxurious, Mysterious, Spiritual, Creative, Intuitive, Wise"
Sage Green,#1C652E,A rich and deep shade of green.,"Tranquil, Calm, Nature","Reliable, Wise, Grounded","Earthy, Soothing, Stable","Growth, Harmony, Balance, Good Fortune","Ideal for natural or organic themes, such as gardens, forests, or eco-friendly products. Can also be used in corporate branding to convey stability and reliability.","Deep Green, Rich Green, Earth Tone, Nature, Calm, Reliable, Organic, Stable, Corporate.","A rich and deep shade of green. Tranquil, Calm, Nature Reliable, Wise, Grounded Earthy, Soothing, Stable Growth, Harmony, Balance, Good Fortune Ideal for natural or organic themes, such as gardens, forests, or eco-friendly products. Can also be used in corporate branding to convey stability and reliability. Deep Green, Rich Green, Earth Tone, Nature, Calm, Reliable, Organic, Stable, Corporate."
Medium Purple,#CB7ECD,A vibrant and rich shade of purple.,"Creative, imaginative","Dreamy, artistic, intuitive","Whimsical, mystical","Spirituality, creativity, royalty","Ideal for artistic design elements, logos, and branding for creative industries.","Vibrant, Purple, Creative, Artistic, Dreamy, Whimsical, Mystical, Spirituality, Branding, Logo Design.","A vibrant and rich shade of purple. Creative, imaginative Dreamy, artistic, intuitive Whimsical, mystical Spirituality, creativity, royalty Ideal for artistic design elements, logos, and branding for creative industries. Vibrant, Purple, Creative, Artistic, Dreamy, Whimsical, Mystical, Spirituality, Branding, Logo Design."
Sage Green #31C274,#31C274,Vibrant and lively sage green.,"Calm, refreshing, rejuvenating.","Wisdom seeker, naturalist, tranquil.","Soothing, peaceful, invigorating.","Growth, harmony, balance in nature.","Ideal for nature-inspired designs, technology products, and wellness brands.","Fresh, vitality, tranquility, growth, natural, soothing.","Vibrant and lively sage green. Calm, refreshing, rejuvenating. Wisdom seeker, naturalist, tranquil. Soothing, peaceful, invigorating. Growth, harmony, balance in nature. Ideal for nature-inspired designs, technology products, and wellness brands. Fresh, vitality, tranquility, growth, natural, soothing."
Medium Purple with Red Undertones,#EE10D1,"A vibrant, medium purple hue with noticeable red undertones.","Passionate, Dramatic","Vibrant, Bold","Energetic, Exciting","It may symbolize passion, power, and love. In some contexts, it can also represent creativity and spirituality.","Ideal for eye-catching logos, branding, or any design element that needs to stand out.","Vibrant, Bold, Passionate, Energetic, Creative, Spiritual.","A vibrant, medium purple hue with noticeable red undertones. Passionate, Dramatic Vibrant, Bold Energetic, Exciting It may symbolize passion, power, and love. In some contexts, it can also represent creativity and spirituality. Ideal for eye-catching logos, branding, or any design element that needs to stand out. Vibrant, Bold, Passionate, Energetic, Creative, Spiritual."
Sapphire Blue,#41B9F1,A vibrant and lively shade of blue.,"Excitement, Innovation","Vibrant, Intellectual","Energetic, Futuristic","Wisdom, Loyalty, Trust","Ideal for tech and digital designs, as well as modern branding.","Technology, Innovation, Trustworthy, Modern, Vibrant, Energetic","A vibrant and lively shade of blue. Excitement, Innovation Vibrant, Intellectual Energetic, Futuristic Wisdom, Loyalty, Trust Ideal for tech and digital designs, as well as modern branding. Technology, Innovation, Trustworthy, Modern, Vibrant, Energetic"
Wistful Rose,#B771B0,A deep yet gentle shade of rose.,"Nostalgic, Romantic","Tenderhearted, Sentimental","Intimate, Dreamy","Passion, Love, Memory","Ideal for romantic designs, sentimental artwork, or soft interiors.","Rose, Mauve, Pastel, Romantic, Nostalgic, Intimate, Dreamy, Soft, Sentimental","A deep yet gentle shade of rose. Nostalgic, Romantic Tenderhearted, Sentimental Intimate, Dreamy Passion, Love, Memory Ideal for romantic designs, sentimental artwork, or soft interiors. Rose, Mauve, Pastel, Romantic, Nostalgic, Intimate, Dreamy, Soft, Sentimental"
Emerald Green,#46815C,"A vibrant, deep shade of green reminiscent of precious emeralds.","Calm, Balance","Persistent, Resourceful","Energizing, Soothing","Growth, Harmony, Success","Ideal for branding in industries such as finance, luxury goods, and environmental conservation.","Vibrant, Rich, Deep, Emerald, Green, Calm, Balance, Persistent, Resourceful, Energizing, Soothing, Growth, Harmony, Success.","A vibrant, deep shade of green reminiscent of precious emeralds. Calm, Balance Persistent, Resourceful Energizing, Soothing Growth, Harmony, Success Ideal for branding in industries such as finance, luxury goods, and environmental conservation. Vibrant, Rich, Deep, Emerald, Green, Calm, Balance, Persistent, Resourceful, Energizing, Soothing, Growth, Harmony, Success."
Medium Purple,#CC36AC,"A bright, vivid shade of medium purple.",Passionate,Bold and confident,Dramatic and energetic,"Spirituality, creativity, royalty, ambition","Ideal for eye-catching logos, fashion accessories, and artistic expressions.","Vibrant, Passionate, Bold, Creative, Spiritual, Ambitious, Dramatic.","A bright, vivid shade of medium purple. Passionate Bold and confident Dramatic and energetic Spirituality, creativity, royalty, ambition Ideal for eye-catching logos, fashion accessories, and artistic expressions. Vibrant, Passionate, Bold, Creative, Spiritual, Ambitious, Dramatic."
Seafoam Green,#22D99E,A vibrant shade of green with a yellow undertone.,"Fresh, invigorating, youthful.","Optimistic, energetic, refreshing.","Lively, energizing, rejuvenating.","Growth, renewal, hope, harmony with nature.","Ideal for design elements that need to stand out while maintaining a light and fresh feel, such as website accents, logos, and fashion accessories.","Vibrant, Fresh, Youthful, Nature, Energy, Optimism, Renewal, Growth, Harmony, Lively.","A vibrant shade of green with a yellow undertone. Fresh, invigorating, youthful. Optimistic, energetic, refreshing. Lively, energizing, rejuvenating. Growth, renewal, hope, harmony with nature. Ideal for design elements that need to stand out while maintaining a light and fresh feel, such as website accents, logos, and fashion accessories. Vibrant, Fresh, Youthful, Nature, Energy, Optimism, Renewal, Growth, Harmony, Lively."
"Green (Specifically, Greenish Cyan)",#1FC226,"A vibrant, yet mild greenish cyan shade.","Freshness, Energy, Vitality","Spirited, Vibrant, Life-affirming","Invigorating, Exciting, Refreshing","Growth, Renewal, Harmony, Calmness","Ideal for branding related to nature, technology, or environmentally friendly products.","Vibrant, Fresh, Nature, Technology, Environment, Energy, Life-affirming.","A vibrant, yet mild greenish cyan shade. Freshness, Energy, Vitality Spirited, Vibrant, Life-affirming Invigorating, Exciting, Refreshing Growth, Renewal, Harmony, Calmness Ideal for branding related to nature, technology, or environmentally friendly products. Vibrant, Fresh, Nature, Technology, Environment, Energy, Life-affirming."
Raspberry Rose,#EF1CF2,A captivating blend of purple and pink.,"Playful, Whimsical",Spirited and charming.,"Joyful, Romantic","Love, Passion, Creativity","Ideal for designing playful interfaces, feminine products, or romantic settings.","Playful, Feminine, Romantic, Vibrant, Pastel, Love, Passion, Creative, Whimsical, Joyful","A captivating blend of purple and pink. Playful, Whimsical Spirited and charming. Joyful, Romantic Love, Passion, Creativity Ideal for designing playful interfaces, feminine products, or romantic settings. Playful, Feminine, Romantic, Vibrant, Pastel, Love, Passion, Creative, Whimsical, Joyful"
Burnt Sienna,#B27956,A rich and warm brown with undertones of orange.,"Warmth, Comfort","Reliable, Grounded","Cozy, Inviting","Stability, Growth, Harvest","Ideal for creating a rustic or vintage aesthetic in interior design, artwork, or graphic design.","Warm, Rich, Earthy, Brown, Orange, Rustic, Vintage, Cozy, Inviting, Reliable, Stable, Growth, Harvest","A rich and warm brown with undertones of orange. Warmth, Comfort Reliable, Grounded Cozy, Inviting Stability, Growth, Harvest Ideal for creating a rustic or vintage aesthetic in interior design, artwork, or graphic design. Warm, Rich, Earthy, Brown, Orange, Rustic, Vintage, Cozy, Inviting, Reliable, Stable, Growth, Harvest"
Lavender Purple,#BB6DB1,A light shade of purple with a touch of pink.,"Tranquil, Romantic","Graceful, Gentle, Tactful","Calm, Dreamy, Elegant","Spirituality, Creativity, Enlightenment","Ideal for soft and calming backgrounds, romantic designs or as a gentle accent color.","Soft, Tranquil, Dreamy, Graceful, Creative, Elegant, Pastel, Purple, Lavender, Pinkish.","A light shade of purple with a touch of pink. Tranquil, Romantic Graceful, Gentle, Tactful Calm, Dreamy, Elegant Spirituality, Creativity, Enlightenment Ideal for soft and calming backgrounds, romantic designs or as a gentle accent color. Soft, Tranquil, Dreamy, Graceful, Creative, Elegant, Pastel, Purple, Lavender, Pinkish."
Indigo Deep,#0759DE,A deep and vibrant shade of blue.,"Sophistication, Intelligence","Mysterious, Intellectual","Calm, Intense","Represents wisdom, intuition, and the divine. It can also symbolize change.","Ideal for professional designs, high-end branding, and technology-related projects.","Deep, Vibrant, Professional, Mysterious, Wisdom, Intuition, Technology, Calm, Intense, Change, High-End, Branding.","A deep and vibrant shade of blue. Sophistication, Intelligence Mysterious, Intellectual Calm, Intense Represents wisdom, intuition, and the divine. It can also symbolize change. Ideal for professional designs, high-end branding, and technology-related projects. Deep, Vibrant, Professional, Mysterious, Wisdom, Intuition, Technology, Calm, Intense, Change, High-End, Branding."
Emerald Green,#06B76C,"A vivid, bright green color.","Vitality, Freshness, Success","Enthusiastic, Optimistic, Adventurous","Energetic, Invigorating","Growth, Abundance, Renewal","Ideal for creating a fresh, modern, and energetic look in branding, web design, or interior decoration.","Bright, Vibrant, Fresh, Energetic, Successful, Modern, Nature, Growth.","A vivid, bright green color. Vitality, Freshness, Success Enthusiastic, Optimistic, Adventurous Energetic, Invigorating Growth, Abundance, Renewal Ideal for creating a fresh, modern, and energetic look in branding, web design, or interior decoration. Bright, Vibrant, Fresh, Energetic, Successful, Modern, Nature, Growth."
Wine Red (Dark Ruby),#A9346E,"A rich, deep shade of red with a hint of purple.","Passionate, Intense","Bold, Dramatic","Sophisticated, Elegant","Wine red can symbolize luxury, love, and power. It is also associated with sophistication and elegance.","Ideal for creating a sense of drama or luxury in design, such as in interior decor, fashion, and branding.","Deep, Rich, Passionate, Luxurious, Dramatic, Elegant, Romantic, Intense","A rich, deep shade of red with a hint of purple. Passionate, Intense Bold, Dramatic Sophisticated, Elegant Wine red can symbolize luxury, love, and power. It is also associated with sophistication and elegance. Ideal for creating a sense of drama or luxury in design, such as in interior decor, fashion, and branding. Deep, Rich, Passionate, Luxurious, Dramatic, Elegant, Romantic, Intense"
Sapphire Blue,#41E2F6,A vibrant and cool shade of blue.,"Calm, peaceful, tranquil","Loyal, trustworthy, reliable","Serene, cool, refreshing","It may symbolize wisdom, loyalty, honesty, and protection. In many cultures, sapphire is associated with the third eye chakra and spiritual growth.","Ideal for modern interiors, websites, and graphic design that aim to create a calm and refreshing atmosphere.","Bright, Cool, Vibrant, Modern, Calm, Peaceful, Trustworthy, Loyalty, Wisdom.","A vibrant and cool shade of blue. Calm, peaceful, tranquil Loyal, trustworthy, reliable Serene, cool, refreshing It may symbolize wisdom, loyalty, honesty, and protection. In many cultures, sapphire is associated with the third eye chakra and spiritual growth. Ideal for modern interiors, websites, and graphic design that aim to create a calm and refreshing atmosphere. Bright, Cool, Vibrant, Modern, Calm, Peaceful, Trustworthy, Loyalty, Wisdom."
E28A70,#E28A70,"Deep, warm terracotta color.","Warmth, Comfort, Passion","Vibrant, Bold, Earthy","Cozy, Inviting, Fiery",Connection to the earth and warmth of the sun.,"Ideal for creating a warm, inviting, and cozy atmosphere in interiors, or as an accent color in branding for companies that wish to convey a friendly, approachable image.","Warm, Earthy, Cozy, Inviting, Vibrant, Bold, Terracotta, Sunny, Connection, Earth, Comfort, Passion.","Deep, warm terracotta color. Warmth, Comfort, Passion Vibrant, Bold, Earthy Cozy, Inviting, Fiery Connection to the earth and warmth of the sun. Ideal for creating a warm, inviting, and cozy atmosphere in interiors, or as an accent color in branding for companies that wish to convey a friendly, approachable image. Warm, Earthy, Cozy, Inviting, Vibrant, Bold, Terracotta, Sunny, Connection, Earth, Comfort, Passion."
Dark Salmon,#CE4247,"A rich, deep shade of salmon with a hint of red.","Passionate, Warm","Vibrant, Intense","Bold, Dramatic","Strength, Courage, Desire","Ideal for creating a dramatic effect in design, especially in small quantities.","Warm, Deep, Intense, Passionate, Vibrant, Bold, Red-Orange","A rich, deep shade of salmon with a hint of red. Passionate, Warm Vibrant, Intense Bold, Dramatic Strength, Courage, Desire Ideal for creating a dramatic effect in design, especially in small quantities. Warm, Deep, Intense, Passionate, Vibrant, Bold, Red-Orange"
Fuchsia Rose,#F5B1E3,"A vibrant, deep magenta pink.","Playful, Romantic, Exciting","Adventurous, Bold, Expressive","Lively, Vibrant, Energetic","Passion, Creativity, Love, Friendship","Ideal for children's rooms, romantic settings, and fashion accessories.","Playful, Romantic, Exciting, Adventurous, Bold, Creative, Love, Friendship, Lively, Vibrant, Energetic, Magenta, Pink, Fashion, Kids Room, Interior Design.","A vibrant, deep magenta pink. Playful, Romantic, Exciting Adventurous, Bold, Expressive Lively, Vibrant, Energetic Passion, Creativity, Love, Friendship Ideal for children's rooms, romantic settings, and fashion accessories. Playful, Romantic, Exciting, Adventurous, Bold, Creative, Love, Friendship, Lively, Vibrant, Energetic, Magenta, Pink, Fashion, Kids Room, Interior Design."
Fauxtina Gold,#FAD55E,A vibrant and warm golden-yellow shade.,"Joyful, Sunny","Vibrant, Radiant, Friendly","Cheerful, Energetic","Represents sunshine, happiness, and warmth.",Ideal for creating a cheerful and energetic atmosphere in interiors or graphic design.,"Sunny, Warm, Vibrant, Friendly, Cheerful, Energetic, Golden, Yellow, Pastel, Interiors, Graphic Design.","A vibrant and warm golden-yellow shade. Joyful, Sunny Vibrant, Radiant, Friendly Cheerful, Energetic Represents sunshine, happiness, and warmth. Ideal for creating a cheerful and energetic atmosphere in interiors or graphic design. Sunny, Warm, Vibrant, Friendly, Cheerful, Energetic, Golden, Yellow, Pastel, Interiors, Graphic Design."
Dark Plum Purple,#5A0274,"A rich, deep shade of plum purple.","Dignified, Mysterious","Regal, Secretive","Luxurious, Enigmatic",Represents wisdom and wealth; can symbolize spirituality or transformation.,"Ideal for formal events, luxury branding, high-end fashion, and mystical design elements.","Rich, Deep, Majestic, Elegant, Mysterious, Spiritual, Royal, Luxurious, Plum, Purple.","A rich, deep shade of plum purple. Dignified, Mysterious Regal, Secretive Luxurious, Enigmatic Represents wisdom and wealth; can symbolize spirituality or transformation. Ideal for formal events, luxury branding, high-end fashion, and mystical design elements. Rich, Deep, Majestic, Elegant, Mysterious, Spiritual, Royal, Luxurious, Plum, Purple."
Lime Greenish-Blue,#2BD555,"A vibrant, refreshing blend of lime and teal.","Energetic, Fresh","Adventurous, Vibrant","Youthful, Exciting","Growth, Renewal, Energy","Ideal for creative projects, technology-related designs, and summer themes.","Fresh, Vibrant, Energy, Nature, Technology, Summer","A vibrant, refreshing blend of lime and teal. Energetic, Fresh Adventurous, Vibrant Youthful, Exciting Growth, Renewal, Energy Ideal for creative projects, technology-related designs, and summer themes. Fresh, Vibrant, Energy, Nature, Technology, Summer"
E0A6A7 (Light Pale Pink),#E0A6A7,A gentle and soft shade of pink.,"Peaceful, Calm, Nurturing","Tender, Soothing, Comforting","Warm, Cozy, Inviting","Nurturing, Love, Softness, Femininity, Innocence","Ideal for creating a soft and inviting atmosphere in spaces like living rooms, nurseries, or spa settings.","Light, Pastel, Pink, Soft, Warm, Cozy, Inviting","A gentle and soft shade of pink. Peaceful, Calm, Nurturing Tender, Soothing, Comforting Warm, Cozy, Inviting Nurturing, Love, Softness, Femininity, Innocence Ideal for creating a soft and inviting atmosphere in spaces like living rooms, nurseries, or spa settings. Light, Pastel, Pink, Soft, Warm, Cozy, Inviting"
Limegreen6DEC93,#6DEC93,A vibrant and radiant shade of lime green.,"Excited, Energetic","Spirited, Vibrant","Bright, Joyful, Radiating Optimism","Growth, Renewal, Freshness, Success","Ideal for modern and trendy designs, such as tech interfaces, fashion, or promotional materials.","Lime, Green, Bright, Vibrant, Modern, Fresh, Trendy, Optimistic, Energy, Excitement","A vibrant and radiant shade of lime green. Excited, Energetic Spirited, Vibrant Bright, Joyful, Radiating Optimism Growth, Renewal, Freshness, Success Ideal for modern and trendy designs, such as tech interfaces, fashion, or promotional materials. Lime, Green, Bright, Vibrant, Modern, Fresh, Trendy, Optimistic, Energy, Excitement"
Light Aquamarine,#D2F0F0,A bright and fresh shade of aqua.,"Calm, Refreshing","Tranquil, Easygoing","Relaxing, Soothing","Peace, Harmony, Water, Growth",Perfect for creating a serene and calming atmosphere in rooms such as bedrooms or bathrooms.,"Aqua, Light, Fresh, Calm, Relaxing, Tranquil, Serene, Soothing, Cool, Pastel","A bright and fresh shade of aqua. Calm, Refreshing Tranquil, Easygoing Relaxing, Soothing Peace, Harmony, Water, Growth Perfect for creating a serene and calming atmosphere in rooms such as bedrooms or bathrooms. Aqua, Light, Fresh, Calm, Relaxing, Tranquil, Serene, Soothing, Cool, Pastel"
Medium Cyan,#789AB7,A tranquil shade of cyan.,"Peaceful, calming","Relaxed, composed","Serene, soothing","Can symbolize technology, water, or the internet due to its association with digital screens and blue skies.","Ideal for creating a sense of calm, as a background color in digital design, and for branding tech-related companies.","Cool, Calm, Technology, Water, Sky, Digital.","A tranquil shade of cyan. Peaceful, calming Relaxed, composed Serene, soothing Can symbolize technology, water, or the internet due to its association with digital screens and blue skies. Ideal for creating a sense of calm, as a background color in digital design, and for branding tech-related companies. Cool, Calm, Technology, Water, Sky, Digital."
Plum Purple,#B542DC,"A deep, rich shade of purple with a hint of blue.","Sophistication, luxury","Majestic, mysterious, enigmatic","Elegant, royal, dreamy","Spiritual growth, wisdom, ambition","Ideal for high-end design elements such as logos, luxury branding, and formal events.","Deep, rich, regal, enigmatic, spiritual.","A deep, rich shade of purple with a hint of blue. Sophistication, luxury Majestic, mysterious, enigmatic Elegant, royal, dreamy Spiritual growth, wisdom, ambition Ideal for high-end design elements such as logos, luxury branding, and formal events. Deep, rich, regal, enigmatic, spiritual."
Sunset Orange,#CF7807,A rich and warm orange with undertones of gold.,"Warmth, Energy, Inviting","Bold, Spirited, Confident","Cheerful, Radiant, Energetic","Sunsets, Passion, Creativity","Ideal for creating warm and inviting environments, branding, and designs that need to convey energy and positivity.","Warm, Vibrant, Cheerful, Radiant, Energy, Passion, Creative.","A rich and warm orange with undertones of gold. Warmth, Energy, Inviting Bold, Spirited, Confident Cheerful, Radiant, Energetic Sunsets, Passion, Creativity Ideal for creating warm and inviting environments, branding, and designs that need to convey energy and positivity. Warm, Vibrant, Cheerful, Radiant, Energy, Passion, Creative."
Maroon Cherry,#CB6164,Deep maroon with a hint of cherry red.,"Warmth, Passion, Sensuality","Bold, Strong-willed, Emotional","Intimate, Mysterious, Romantic","Traditionally associated with courage and constancy. In many cultures, maroon is used to symbolize sacrifice, struggle, and rebirth.","Ideal for romantic design elements, such as a dinner date invitation or a Valentine's Day decoration.","Deep red, Maroon, Warm, Intimate, Passionate, Romantic, Courage, Struggle, Sacrifice, Rebirth.","Deep maroon with a hint of cherry red. Warmth, Passion, Sensuality Bold, Strong-willed, Emotional Intimate, Mysterious, Romantic Traditionally associated with courage and constancy. In many cultures, maroon is used to symbolize sacrifice, struggle, and rebirth. Ideal for romantic design elements, such as a dinner date invitation or a Valentine's Day decoration. Deep red, Maroon, Warm, Intimate, Passionate, Romantic, Courage, Struggle, Sacrifice, Rebirth."
"#02A666 (Hexadecimal: 02, A6, 66)",#02A666,Bright and vibrant green.,"Energy, Freshness, Vitality","Vibrant, Energetic, Youthful","Invigorating, Exciting","New beginnings, Growth, Progress","Ideal for promoting environmentally friendly products, technology brands, and youth-oriented marketing.","Bright, Fresh, Vibrant, Energy, Youthful, Technology, Nature, Progress, Growth, Invigorating, Exciting.","Bright and vibrant green. Energy, Freshness, Vitality Vibrant, Energetic, Youthful Invigorating, Exciting New beginnings, Growth, Progress Ideal for promoting environmentally friendly products, technology brands, and youth-oriented marketing. Bright, Fresh, Vibrant, Energy, Youthful, Technology, Nature, Progress, Growth, Invigorating, Exciting."
Deep Sapphire Blue,#0539EB,"A vibrant and deep shade of blue, reminiscent of the ocean's depth.","Calm, Elegance, Trust","Reliable, Mysterious, Confident","Cool, Serene, Intense","Wisdom, Royalty, Loyalty","Ideal for corporate branding, luxury products, and technology.","Blue, Dark, Deep, Ocean, Trustworthy, Luxury, Technology, Calm, Cool, Professional.","A vibrant and deep shade of blue, reminiscent of the ocean's depth. Calm, Elegance, Trust Reliable, Mysterious, Confident Cool, Serene, Intense Wisdom, Royalty, Loyalty Ideal for corporate branding, luxury products, and technology. Blue, Dark, Deep, Ocean, Trustworthy, Luxury, Technology, Calm, Cool, Professional."
Sage Green,#526E4B,"A deep, rich shade of green reminiscent of pine trees.","Calmness, Serenity","Wisdom, Reliability, Grounded","Tranquil, Earthy","Nature, Growth, Balance","Ideal for natural-inspired designs, as a calm background color or for text on a website.","Natural, Calming, Deep, Forest, Rich, Soothing","A deep, rich shade of green reminiscent of pine trees. Calmness, Serenity Wisdom, Reliability, Grounded Tranquil, Earthy Nature, Growth, Balance Ideal for natural-inspired designs, as a calm background color or for text on a website. Natural, Calming, Deep, Forest, Rich, Soothing"
